team_code,name,type,value
1,Altay_Bayındır,const,0.0
1,Amad_Diallo,const,13.374209379186633
1,Andrey_Nascimento dos Santos,const,0.0
1,Ayden_Heaven,const,0.0
1,Bendito_Mantato,const,4.644074833
1,Benjamin_Sesko,const,6.153002671098875
1,Bruno_Borges Fernandes,const,89.59799999999998
1,Bryan_Mbeumo,const,80.46437580374258
1,Chido_Obi,const,0.1364914589650414
1,Diogo_Dalot Teixeira,const,81.891459
1,Harry_Amass,const,0.0
1,Harry_Maguire,const,87.726
1,Jack_Fletcher,const,6.993206785714799
1,Joshua_Zirkzee,const,3.5697934213158184
1,Karl_Darlow,const,90.0
1,Kobbie_Mainoo,const,81.87299999999999
1,Leny_Yoro,const,8.376546965917505
1,Lisandro_Martínez,const,77.554887
1,Luke_Shaw,const,87.73629799999999
1,Manuel_Ugarte Ribeiro,const,0.0
1,Marcus_Rashford,const,0.0
1,Mason_Mount,const,0.0
1,Matheus_Santos Carneiro Da Cunha,const,80.1647948
1,Matthijs_de Ligt,const,0.0
1,Noussair_Mazraoui,const,0.0
1,Patrick_Dorgu,const,80.98577360050609
1,Senne_Lammens,const,90.0
1,Shea_Lacey,const,9.229516346
1,Toby_Collyer,const,0.0
1,Tom_Heaton,const,0.0
1,Tyler_Fletcher,const,0.290334394
1,Tyler_Fredricson,const,0.5120183599999999
1,Youri_Tielemans,const,77.562793
2,Anton_Stach,const,90.0
2,Brenden_Aaronson,const,63.94007847476041
2,Daniel_James,const,32.770730216728914
2,Dominic_Calvert-Lewin,const,86.568
2,Ethan_Ampadu,const,90.0
2,Gabriel_Gudmundsson,const,0.0
2,Harry_Wilson,const,90.0
2,Ilia_Gruev,const,0.0
2,Jack_Harrison,const,0.0
2,Jaka_Bijol,const,78.218187
2,James_Justin,const,83.00699999999999
2,Jayden_Bogle,const,50.433819493846975
2,Joe_Gelhardt,const,40.0
2,Joe_Rodon,const,79.75758499999999
2,Joël_Piroe,const,6.350032499999999
2,Lucas_Estella Perri,const,35.18992275345123
2,Lukas_Nmecha,const,41.265677297666265
2,Mateo_Joseph Fernández-Regatillo,const,0.0
2,Noah_Okafor,const,0.0
2,Sean_Longstaff,const,31.67481880546758
2,Sebastiaan_Bornauw,const,38.0996294959153
2,Tanaka_Ao,const,64.59325686307005
2,Tarik_Muharemović,const,0.0
2,Wilfried_Gnonto,const,28.12953170840899
3,Benjamin_White,const,0.0
3,Bukayo_Saka,const,80.98524368646423
3,Christian_Nørgaard,const,6.46454154
3,Cristhian_Mosquera,const,90.0
3,David_Raya Martin,const,90.0
3,Declan_Rice,const,89.532
3,Eberechi_Eze,const,50.2698384863391
3,Ethan_Nwaneri,const,0.0
3,Fábio_Ferreira Vieira,const,0.0
3,Gabriel_Fernando de Jesus,const,5.438234070813
3,Gabriel_Martinelli Silva,const,23.858062739052595
3,Gabriel_dos Santos Magalhães,const,88.476
3,Illan_Meslier,const,0.0
3,Jurriën_Timber,const,0.0
3,Kai_Havertz,const,22.666512629358603
3,Kepa_Arrizabalaga,const,16.258848435757162
3,Martin_Ødegaard,const,66.70410636374784
3,Martín_Zubimendi Ibáñez,const,44.40969947224707
3,Max_Dowman,const,4.22218687544868
3,Mikel_Merino Zazón,const,5.625173048303568
3,Myles_Lewis-Skelly,const,54.68150640140384
3,Noni_Madueke,const,24.30417141646194
3,Piero_Hincapié,const,29.69343960893209
3,Reiss_Nelson,const,0.0
3,Riccardo_Calafiori,const,58.15718583186275
3,Viktor_Gyökeres,const,49.48420955596182
3,William_Saliba,const,88.767
4,Alex_Murphy,const,0.74562922
4,Anthony_Elanga,const,90.0
4,Bazoumana_Touré,const,0.0
4,Bruno_Guimarães Rodriguez Moura,const,87.609
4,Dan_Burn,const,77.3110422
4,Ewen_Jaouen,const,0.0
4,Fabian_Schär,const,0.0
4,Harvey_Barnes,const,62.05626871052624
4,Jacob_Murphy,const,49.459792822308415
4,Jacob_Ramsey,const,58.182464135305
4,Joe_Willock,const,57.63413696786024
4,Joelinton_Cássio Apolinário de Lira,const,0.0
4,Lewis_Hall,const,78.020657
4,Lewis_Miley,const,0.0
4,Malick_Thiaw,const,90.0
4,Mark_Gillespie,const,0.0
4,Nick_Pope,const,90.0
4,Nick_Woltemade,const,58.92992358886265
4,Sean_Neave,const,4.71570685
4,Sean_Steur,const,0.0
4,Sven_Botman,const,86.835062
4,Tino_Livramento,const,0.0
4,William_Osula,const,65.55722163518976
4,Yoane_Wissa,const,32.94259360107887
6,Andrew_Robertson,const,0.0
6,Antonín_Kinský,const,90.0
6,Archie_Gray,const,9.37711947425829
6,Ashley_Phillips,const,0.0
6,Ben_Davies,const,0.0
6,Brandon_Austin,const,0.0
6,Callum_Olusesi,const,7.8274028
6,Conor_Gallagher,const,86.86532899999999
6,Cristian_Romero,const,0.0
6,Dane_Scarlett,const,0.0
